Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
hoeslaken-jersey-tiny-park,Hoeslaken - Jersey - Tiny Park,"Met het hoeslaken Jersey Tiny Park van Jollein slaapt je kleintje heerlijk zacht. Het hoeslaken is gemaakt van rekbaar en ademend jersey katoen, waardoor het perfect om het matras past en lekker comfortabel aanvoelt. De all-over Tiny Park print met schattige parkt avontuen en dieren brengt een speelse en gezellige sfeer in de babykamer.

Verkrijgbaar in de maten 40/50x80/90 cm, 60x120 cm en 70/75x140/150 cm, zodat je altijd de juiste maat hebt voor het matras van je kleintje. Dankzij de elastische hoeken blijft het hoeslaken goed zitten en creëer je in een handomdraai een knus bedje.",Jollein,fitted_sheets_jersey_tiny_park,"Fitted sheets, Hoeslakens, Season 2025/2026, Tiny Park, type-GDP-fitted_sheets_jersey_tiny_park",TRUE,Color,Multicolor,Size,60x120 cm,,,511-507-68102,0,,0,deny,manual,10.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/511-507-68102_1_20250611T.jpg?v=1752139633,2,FALSE,,,,,,,,,,,,,,,,,,,
hoeslaken-jersey-tiny-park,Hoeslaken - Jersey - Tiny Park,"Met het hoeslaken Jersey Tiny Park van Jollein slaapt je kleintje heerlijk zacht. Het hoeslaken is gemaakt van rekbaar en ademend jersey katoen, waardoor het perfect om het matras past en lekker comfortabel aanvoelt. De all-over Tiny Park print met schattige parkt avontuen en dieren brengt een speelse en gezellige sfeer in de babykamer.

Verkrijgbaar in de maten 40/50x80/90 cm, 60x120 cm en 70/75x140/150 cm, zodat je altijd de juiste maat hebt voor het matras van je kleintje. Dankzij de elastische hoeken blijft het hoeslaken goed zitten en creëer je in een handomdraai een knus bedje.",Jollein,fitted_sheets_jersey_tiny_park,"Fitted sheets, Hoeslakens, Season 2025/2026, Tiny Park, type-GDP-fitted_sheets_jersey_tiny_park",TRUE,Color,Multicolor,Size,70/75x140/150 cm,,,511-565-68102,0,,0,deny,manual,14.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/511-565-68102_1_20250611T.jpg?v=1752139633,3,FALSE,,,,,,,,,,,,,,,,,,,
laken-animal-friends,Laken - Animal Friends,"Dit laken heeft een oatmeal ondergrond met schattige dieren zoals een hond, uil en kat. Het is makkelijk te combineren met milky coffee en sand breisels, maar ook met biscuit of nougat voor een warme, gezellige sfeer in de babykamer. Een vrolijk en zacht laken voor het bedje van je kleintje!",Jollein,sheets_animal_friends,"Animal Friends, Lakens, Season 2025/2026, Sheets, type-GDP-sheets_animal_friends",TRUE,Color,Multicolor,Size,75x100 cm,,,008-511-68154,0,,0,deny,manual,11.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/008-511-68154_1_20250611T.jpg?v=1752139751,1,FALSE,,,,,,,,,,,,,,,,,,,
laken-animal-friends,Laken - Animal Friends,"Dit laken heeft een oatmeal ondergrond met schattige dieren zoals een hond, uil en kat. Het is makkelijk te combineren met milky coffee en sand breisels, maar ook met biscuit of nougat voor een warme, gezellige sfeer in de babykamer. Een vrolijk en zacht laken voor het bedje van je kleintje!",Jollein,sheets_animal_friends,"Animal Friends, Lakens, Season 2025/2026, Sheets, type-GDP-sheets_animal_friends",TRUE,Color,Multicolor,Size,120x150 cm,,,008-524-68154,0,,0,deny,manual,15.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/008-524-68154_1_20250611T.jpg?v=1752139751,2,FALSE,,,,,,,,,,,,,,,,,,,
wagenspanner-tiny-park,Wagenspanner - Tiny Park,"Deze schattige wagenspanner Tiny Park is het perfecte speeltje voor onderweg. Het ontwerp bevat een schattig hondje, een katje en een klavertje vier, waarvan het klavertje een klein spiegeltje bevat voor extra vermaak. Ook maakt de wagenspanner een rustgevend geluid met belletjes. Een heerlijke manier om je kleintje onderweg te vermaken!",Jollein,pram_chains_tiny_park,"Activity Toys, Season 2025/2026, Tiny Park, type-GDP-pram_chains_tiny_park, Wagenspanner",TRUE,Color,Multicolor,Size,One Size,,,061-001-68102,0,,0,deny,manual,19.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/061-001-68102_1_20250606T.jpg?v=1752139718,1,FALSE,,,,,,,,,,,,,,,,,,,
stoelverkleiner-meegroei-elephant-tales,Stoelverkleiner Meegroei - Elephant Tales,"Deze stoelverkleiner uit de Elephant Tales collectie biedt optimaal comfort voor je kleintje. De nieuwe kwaliteit met flexibele coating maakt de stof zachter en biedt zachte padding voor extra comfort. De stof is makkelijker afneembaar, zodat je hem eenvoudig kunt schoonmaken. De schattige olifantenprint maakt het geheel extra vrolijk en het kussen past perfect in iedere meegroeistoel dus gaat lekker lang mee!",Jollein,highchair_cushions_growth_elephant_tales,"Elephant Tales, Highchair Cushions, Season 2025/2026, Stoelverkleiners Meegroei, type-GDP-highchair_cushions_growth_elephant_tales",TRUE,Color,Multicolor,Size,27x45 cm,,,019-533-68110,0,,0,deny,manual,34.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/019-533-68110_1_20250611T.jpg?v=1752139668,1,FALSE,,,,,,,,,,,,,,,,,,,
deken-box-knit-gots,Deken - Box Knit - GOTS,"Deze super zachte deken met een prachtig gebreid check patroon is precies wat je kleintje nodig heeft voor een heerlijke nachtrust! Gemaakt van GOTS-gecertificeerd materiaal, is deze deken niet alleen duurzaam, maar ook heerlijk zacht voor je baby. Deze deken zorgt voor een gezellige en warme sfeer in de babykamer!",Jollein,blankets_box_knit,"Blankets, Box Knit, Dekens, Season 2025/2026, type-GDP-blankets_box_knit",TRUE,Color,Warm Sand,Size,75x100 cm,,,516-511-68124,0,,0,deny,manual,29.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/516-511-68124_1_20250611T.jpg?v=1752139797,1,FALSE,,,,,,,,,,,,,,,,,,,
deken-box-knit-gots,Deken - Box Knit - GOTS,"Deze super zachte deken met een prachtig gebreid check patroon is precies wat je kleintje nodig heeft voor een heerlijke nachtrust! Gemaakt van GOTS-gecertificeerd materiaal, is deze deken niet alleen duurzaam, maar ook heerlijk zacht voor je baby. Deze deken zorgt voor een gezellige en warme sfeer in de babykamer!",Jollein,blankets_box_knit,"Blankets, Box Knit, Dekens, Season 2025/2026, type-GDP-blankets_box_knit",TRUE,Color,Milky Coffee,Size,75x100 cm,,,516-511-68125,0,,0,deny,manual,29.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/516-511-68125_1_20250606T.jpg?v=1752139797,2,FALSE,,,,,,,,,,,,,,,,,,,
deken-box-knit-gots,Deken - Box Knit - GOTS,"Deze super zachte deken met een prachtig gebreid check patroon is precies wat je kleintje nodig heeft voor een heerlijke nachtrust! Gemaakt van GOTS-gecertificeerd materiaal, is deze deken niet alleen duurzaam, maar ook heerlijk zacht voor je baby. Deze deken zorgt voor een gezellige en warme sfeer in de babykamer!",Jollein,blankets_box_knit,"Blankets, Box Knit, Dekens, Season 2025/2026, type-GDP-blankets_box_knit",TRUE,Color,Warm Sand,Size,100x150 cm,,,516-522-68124,0,,0,deny,manual,49.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/516-522-68124_1_20250611T.jpg?v=1752139798,3,FALSE,,,,,,,,,,,,,,,,,,,
deken-box-knit-gots,Deken - Box Knit - GOTS,"Deze super zachte deken met een prachtig gebreid check patroon is precies wat je kleintje nodig heeft voor een heerlijke nachtrust! Gemaakt van GOTS-gecertificeerd materiaal, is deze deken niet alleen duurzaam, maar ook heerlijk zacht voor je baby. Deze deken zorgt voor een gezellige en warme sfeer in de babykamer!",Jollein,blankets_box_knit,"Blankets, Box Knit, Dekens, Season 2025/2026, type-GDP-blankets_box_knit",TRUE,Color,Milky Coffee,Size,100x150 cm,,,516-522-68125,0,,0,deny,manual,49.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/516-522-68125_1_20250611T.jpg?v=1752139798,4,FALSE,,,,,,,,,,,,,,,,,,,
